NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
5,Hashmap,50,5602480.91100,112049.61822,56024.80911,12058157.99700,168889
6,Sequence,60000,3815774.34000,63.59624,31.79812,503174.40942,4
6,Vector,60,475570.36400,7926.17273,3963.08637,1614902984.15652,1600000
6,Hashmap,60,8932550.54100,148875.84235,74437.92118,9075428.07935,168889
7,Sequence,70000,4407293.01000,62.96133,31.48066,508248.48607,4
7,Vector,70,663770.17100,9482.43101,4741.21551,1349864816.38688,1600000
7,Hashmap,70,11134767.38000,159068.10543,79534.05271,8493921.49583,168889
8,Sequence,80000,5195931.67200,64.94915,32.47457,492693.16104,4
8,Vector,80,1051986.94900,13149.83686,6574.91843,973396106.26671,1600000
8,Hashmap,80,11106329.83400,138829.12293,69414.56146,9732194.30861,168889
9,Sequence,90000,5744418.30800,63.82687,31.91344,501356.24629,4
9,Vector,90,1441243.11100,16013.81234,8006.90617,799309978.45373,1600000
9,Hashmap,90,13212445.75000,146804.95278,73402.47639,9203449.70953,168889
10,Sequence,100000,6084244.78300,60.84245,30.42122,525948.59578,4
10,Vector,100,1389746.38500,13897.46385,6948.73193,921031357.81857,1600000
10,Hashmap,100,14247408.44200,142474.08442,71237.04221,9483212.37157,168889
1,Sequence,10000,511401.94400,51.14019,25.57010,625730.90258,4
1,Vector,10,41849.07400,4184.90740,2092.45370,3058610090.15397,1600000
1,Hashmap,10,885677.28800,88567.72880,44283.86440,15255127.55386,168889
2,Sequence,20000,1193255.49700,59.66277,29.83139,536347.83297,4
2,Vector,20,143832.27000,7191.61350,3595.80675,1779850933.31281,1600000
2,Hashmap,20,1858400.14800,92920.00740,46460.00370,14540592.90142,168889
3,Sequence,30000,1747052.43200,58.23508,29.11754,549496.95980,4
3,Vector,30,190048.52700,6334.95090,3167.47545,2020536575.90306,1600000
3,Hashmap,30,2846527.85400,94884.26180,47442.13090,14239579.61382,168889
4,Sequence,40000,2464387.18800,61.60968,30.80484,519398.90218,4
4,Vector,40,278458.11400,6961.45285,3480.72643,1838696645.05449,1600000
4,Hashmap,40,4395017.97700,109875.44943,54937.72471,12296759.71357,168889
5,Sequence,50000,3070816.53600,61.41633,30.70817,521034.05763,4
5,Vector,50,347316.39000,6946.32780,3473.16390,1842700253.79453,1600000
5,Hashmap,50,5494592.92900,109891.85858,54945.92929,12294923.54992,168889
6,Sequence,60000,3581917.74900,59.69863,29.84931,536025.70872,4
6,Vector,60,440259.83600,7337.66393,3668.83197,1744424399.41308,1600000
6,Hashmap,60,7055889.75400,117598.16257,58799.08128,11489227.13171,168889
7,Sequence,70000,4189324.10400,59.84749,29.92374,534692.45740,4
7,Vector,70,575773.75400,8225.33934,4112.66967,1556166799.50299,1600000
7,Hashmap,70,9274794.59800,132497.06569,66248.53284,10197297.52510,168889
8,Sequence,80000,4732533.19400,59.15666,29.57833,540936.51224,4
8,Vector,80,811116.79900,10138.95999,5069.47999,1262456900.48888,1600000
8,Hashmap,80,10810985.31300,135137.31641,67568.65821,9998067.41667,168889
9,Sequence,90000,5180932.38100,57.56592,28.78296,555884.49881,4
9,Vector,90,1136263.38500,12625.14872,6312.57436,1013849443.01448,1600000
9,Hashmap,90,12284981.45400,136499.79393,68249.89697,9898271.35314,168889
10,Sequence,100000,6230776.06200,62.30776,31.15388,513579.68384,4
10,Vector,100,1096619.33300,10966.19333,5483.09667,1167223631.28355,1600000
10,Hashmap,100,14157594.54400,141575.94544,70787.97272,9543372.61037,168889
1,Sequence,10000,488882.82800,48.88828,24.44414,654553.56922,4
1,Vector,10,42593.64300,4259.36430,2129.68215,3005143279.24475,1600000
1,Hashmap,10,837436.07500,83743.60750,41871.80375,16133912.07203,168889
2,Sequence,20000,1083580.54800,54.17903,27.08951,590634.44908,4
2,Vector,20,109814.83600,5490.74180,2745.37090,2331196852.12661,1600000
2,Hashmap,20,1554092.77100,77704.63855,38852.31928,17387790.80905,168889
3,Sequence,30000,1600478.06000,53.34927,26.67463,599820.78105,4
3,Vector,30,175902.61300,5863.42043,2931.71022,2183026127.07635,1600000
3,Hashmap,30,2910074.12000,97002.47067,48501.23533,13928634.91738,168889
4,Sequence,40000,2316868.62500,57.92172,28.96086,552469.82336,4
4,Vector,40,353218.77900,8830.46948,4415.23474,1449526555.32508,1600000
4,Hashmap,40,4913832.45100,122845.81128,61422.90564,10998437.68361,168889
5,Sequence,50000,2848761.16000,56.97522,28.48761,561647.64616,4
