NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
5,Hashmap,50,6141794.08600,122835.88172,61417.94086,21998653.50549,337778
6,Sequence,600000,26918893.34000,44.86482,22.43241,713253.68980,4
6,Vector,60,643046.10000,10717.43500,5358.71750,1194315617.49616,1600000
6,Hashmap,60,7579105.70200,126318.42837,63159.21418,21392159.75801,337778
7,Sequence,700000,31109262.70000,44.44180,22.22090,720042.78006,4
7,Vector,70,706400.05300,10091.42933,5045.71466,1268403075.84179,1600000
7,Hashmap,70,10472137.59200,149601.96560,74800.98280,18062757.32516,337778
8,Sequence,800000,35373861.78600,44.21733,22.10866,723698.19713,4
8,Vector,80,1103519.91200,13793.99890,6896.99945,927939757.91893,1600000
8,Hashmap,80,10275274.58000,128440.93225,64220.46613,21038651.40702,337778
9,Sequence,900000,40261732.25100,44.73526,22.36763,715319.44578,4
9,Vector,90,1132518.30400,12583.53671,6291.76836,1017202102.54544,1600000
9,Hashmap,90,11514451.10400,127938.34560,63969.17280,21121298.60150,337778
10,Sequence,1000000,45528607.62000,45.52861,22.76430,702854.79115,4
10,Vector,100,1398287.20900,13982.87209,6991.43605,915405641.81761,1600000
10,Hashmap,100,12558869.83400,125588.69834,62794.34917,21516458.37338,337778
1,Sequence,100000,3547408.05500,35.47408,17.73704,902067.07274,4
1,Vector,10,45818.94200,4581.89420,2290.94710,2793604444.20563,1600000
1,Hashmap,10,986053.42300,98605.34230,49302.67115,27404438.10619,337778
2,Sequence,200000,6996511.46800,34.98256,17.49128,914741.58647,4
2,Vector,20,88023.84000,4401.19200,2200.59600,2908303023.36276,1600000
2,Hashmap,20,1788303.24700,89415.16235,44707.58118,30221093.70470,337778
3,Sequence,300000,13634247.80100,45.44749,22.72375,704109.25048,4
3,Vector,30,222923.81700,7430.79390,3715.39695,1722561569.09425,1600000
3,Hashmap,30,3258438.87600,108614.62920,54307.31460,24879005.89362,337778
4,Sequence,400000,16224571.63200,40.56143,20.28071,788926.83827,4
4,Vector,40,329865.00500,8246.62513,4123.31256,1552150098.49256,1600000
4,Hashmap,40,4270576.40500,106764.41013,53382.20506,25310157.16601,337778
5,Sequence,500000,20610494.43200,41.22099,20.61049,776303.55025,4
5,Vector,50,578207.83600,11564.15672,5782.07836,1106868430.61048,1600000
5,Hashmap,50,5290399.97400,105807.99948,52903.99974,25538938.58007,337778
6,Sequence,600000,25016580.62500,41.69430,20.84715,767490.98079,4
6,Vector,60,660705.03000,11011.75050,5505.87525,1162394661.95679,1600000
6,Hashmap,60,7950588.23800,132509.80397,66254.90198,20392634.50031,337778
7,Sequence,700000,30569053.86500,43.67008,21.83504,732767.19976,4
7,Vector,70,775093.67100,11072.76673,5536.38336,1155989312.67754,1600000
7,Hashmap,70,10020187.25500,143145.53221,71572.76611,18877459.59095,337778
8,Sequence,800000,34552996.09300,43.19125,21.59562,740890.88920,4
8,Vector,80,1043734.32500,13046.67906,6523.33953,981092578.32447,1600000
8,Hashmap,80,10277588.91400,128469.86143,64234.93071,21033913.86919,337778
9,Sequence,900000,41363660.13900,45.95962,22.97981,696263.33606,4
9,Vector,90,1412576.36400,15695.29293,7847.64647,815531131.17218,1600000
9,Hashmap,90,10882385.97500,120915.39972,60457.69986,22348054.97238,337778
10,Sequence,1000000,45505531.12400,45.50553,22.75277,703211.21872,4
10,Vector,100,1625659.65700,16256.59657,8128.29829,787372679.44640,1600000
10,Hashmap,100,11639468.75600,116394.68756,58197.34378,23216042.38687,337778
1,Sequence,100000,4251277.67900,42.51278,21.25639,752714.88753,4
1,Vector,10,64426.60200,6442.66020,3221.33010,1986756961.04538,1600000
1,Hashmap,10,931079.07800,93107.90780,46553.95390,29022497.27063,337778
2,Sequence,200000,8128562.91900,40.64281,20.32141,787347.04569,4
2,Vector,20,119457.55500,5972.87775,2986.43888,2143020590.03300,1600000
2,Hashmap,20,2013441.23900,100672.06195,50336.03098,26841846.16525,337778
3,Sequence,300000,13044232.52000,43.48078,21.74039,735957.44213,4
3,Vector,30,203071.94100,6769.06470,3384.53235,1890955481.63397,1600000
3,Hashmap,30,3022765.58400,100758.85280,50379.42640,26818725.35174,337778
4,Sequence,400000,17075384.11500,42.68846,21.34423,749617.10459,4
4,Vector,40,259004.33500,6475.10838,3237.55419,1976800890.22448,1600000
4,Hashmap,40,4470602.01300,111765.05033,55882.52516,24177719.17198,337778
5,Sequence,500000,21181466.73900,42.36293,21.18147,755377.33988,4
5,Vector,50,446495.27200,8929.90544,4464.95272,1433385838.85385,1600000
5,Hashmap,50,5978815.82300,119576.31646,59788.15823,22598321.13915,337778
6,Sequence,600000,25861045.56300,43.10174,21.55087,742429.37909,4
6,Vector,60,518933.90100,8648.89835,4324.44918,1479957271.08991,1600000
6,Hashmap,60,8571026.17300,142850.43622,71425.21811,18916456.06109,337778
7,Sequence,700000,30953945.38900,44.21992,22.10996,723655.73172,4
7,Vector,70,762741.11300,10896.30161,5448.15081,1174710507.57428,1600000
7,Hashmap,70,10870605.00400,155294.35720,77647.17860,17400658.00665,337778
8,Sequence,800000,34649714.22400,43.31214,21.65607,738822.83226,4
8,Vector,80,734066.69300,9175.83366,4587.91683,1394968617.65393,1600000
8,Hashmap,80,10328153.77500,129101.92219,64550.96109,20930935.45172,337778
9,Sequence,900000,41171253.37700,45.74584,22.87292,699517.20285,4
9,Vector,90,1409748.95100,15663.87723,7831.93862,817166772.27022,1600000
9,Hashmap,90,12727858.76900,141420.65299,70710.32649,19107704.16406,337778
10,Sequence,1000000,45328571.81700,45.32857,22.66429,705956.50199,4
10,Vector,100,1490733.19800,14907.33198,7453.66599,858637884.84571,1600000
10,Hashmap,100,11565875.16900,115658.75169,57829.37585,23363765.91062,337778
1,Sequence,100000,4187269.66100,41.87270,20.93635,764221.14148,4
1,Vector,10,50673.48200,5067.34820,2533.67410,2525976012.46348,1600000
1,Hashmap,10,832392.26300,83239.22630,41619.61315,32463348.35287,337778
2,Sequence,200000,8957264.88000,44.78632,22.39316,714503.82296,4
2,Vector,20,126545.83100,6327.29155,3163.64578,2022982487.66488,1600000
2,Hashmap,20,2115488.27200,105774.41360,52887.20680,25547047.79758,337778
3,Sequence,300000,11928946.16200,39.76315,19.88158,804765.13764,4
