NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
10,Hashmap,100,19644098.55700,196440.98557,98220.49279,13755907.36403,337778
1,Sequence,100000,10138672.23800,101.38672,50.69336,315623.18269,4
1,Vector,10,141611.72000,14161.17200,7080.58600,903879989.59408,1600000
1,Hashmap,10,820300.14800,82030.01480,41015.00740,32941893.36170,337778
2,Sequence,200000,21346230.86200,106.73115,53.36558,299818.73809,4
2,Vector,20,552600.36000,27630.01800,13815.00900,463264265.69827,1600000
2,Hashmap,20,1877617.75000,93880.88750,46940.44375,28783537.01119,337778
3,Sequence,300000,33512901.20600,111.70967,55.85484,286456.84660,4
3,Vector,30,1191904.12200,39730.13740,19865.06870,322173564.89686,1600000
3,Hashmap,30,2887666.80000,96255.56000,48127.78000,28073432.84897,337778
4,Sequence,400000,46454985.93600,116.13746,58.06873,275535.54784,4
4,Vector,40,2042102.30500,51052.55763,25526.27881,250722012.67605,1600000
4,Hashmap,40,4096611.15000,102415.27875,51207.63938,26384969.43992,337778
5,Sequence,500000,57702363.77400,115.40473,57.70236,277285.00106,4
5,Vector,50,2991885.05300,59837.70106,29918.85053,213911961.40984,1600000
5,Hashmap,50,5730109.66500,114602.19330,57301.09665,23579164.78026,337778
6,Sequence,600000,71350461.57000,118.91744,59.45872,269094.26481,4
6,Vector,60,4268270.24000,71137.83733,35568.91867,179932374.66614,1600000
6,Hashmap,60,8118461.49200,135307.69153,67653.84577,19970956.33942,337778
7,Sequence,700000,82219018.07800,117.45574,58.72787,272443.04935,4
7,Vector,70,5888592.30000,84122.74714,42061.37357,152158606.73526,1600000
7,Hashmap,70,12069364.59500,172419.49421,86209.74711,15672380.97011,337778
8,Sequence,800000,91463807.29000,114.32976,57.16488,279892.13175,4
8,Vector,80,7730121.82400,96626.52280,48313.26140,132468804.93148,1600000
8,Hashmap,80,13322755.95900,166534.44949,83267.22474,16226216.30729,337778
9,Sequence,900000,105279928.29600,116.97770,58.48885,273556.41732,4
9,Vector,90,9484000.41000,105377.78233,52688.89117,121467729.88172,1600000
9,Hashmap,90,15253415.63000,169482.39589,84741.19794,15943980.41064,337778
10,Sequence,1000000,118619388.04400,118.61939,59.30969,269770.40202,4
10,Vector,100,12686679.79000,126866.79790,63433.39895,100893221.96095,1600000
10,Hashmap,100,19260605.37000,192606.05370,96303.02685,14029797.85988,337778
1,Sequence,100000,10071133.33000,100.71133,50.35567,317739.81092,4
1,Vector,10,143479.98000,14347.99800,7173.99900,892110523.01513,1600000
1,Hashmap,10,909792.93200,90979.29320,45489.64660,29701527.73181,337778
2,Sequence,200000,22211793.63300,111.05897,55.52948,288135.21797,4
2,Vector,20,543189.31000,27159.46550,13579.73275,471290570.86930,1600000
2,Hashmap,20,1998360.35800,99918.01790,49959.00895,27044411.57654,337778
3,Sequence,300000,33539366.53100,111.79789,55.89894,286230.80854,4
3,Vector,30,1134068.64300,37802.28810,18901.14405,338603842.34255,1600000
3,Hashmap,30,2775574.45700,92519.14857,46259.57428,29207186.20808,337778
4,Sequence,400000,46236985.35300,115.59246,57.79623,276834.65741,4
4,Vector,40,1870176.16200,46754.40405,23377.20203,273771001.04434,1600000
4,Hashmap,40,4241182.14200,106029.55355,53014.77678,25485573.68702,337778
5,Sequence,500000,56517725.50600,113.03545,56.51773,283097.02588,4
5,Vector,50,2924028.90400,58480.57808,29240.28904,218876085.36444,1600000
5,Hashmap,50,5851551.36900,117031.02738,58515.51369,23089808.40804,337778
6,Sequence,600000,72435200.39100,120.72533,60.36267,265064.49760,4
6,Vector,60,4320590.57800,72009.84297,36004.92148,177753477.47842,1600000
6,Hashmap,60,8356255.70100,139270.92835,69635.46418,19402642.26005,337778
7,Sequence,700000,83260502.50700,118.94358,59.47179,269035.12861,4
7,Vector,70,5747037.45100,82100.53501,41050.26751,155906413.98101,1600000
7,Hashmap,70,11707697.98200,167252.82831,83626.41416,16156521.99867,337778
8,Sequence,800000,95568542.86700,119.46068,59.73034,267870.56946,4
8,Vector,80,7722749.21000,96534.36513,48267.18256,132595267.84504,1600000
8,Hashmap,80,12745631.24500,159320.39056,79660.19528,16960942.60414,337778
9,Sequence,900000,99219054.21800,110.24339,55.12170,290266.82654,4
9,Vector,90,9704092.54300,107823.25048,53911.62524,118712800.28456,1600000
9,Hashmap,90,15406341.37000,171181.57078,85590.78539,15785717.98192,337778
10,Sequence,1000000,119382680.54400,119.38268,59.69134,268045.58127,4
10,Vector,100,11206627.64200,112066.27642,56033.13821,114218125.28176,1600000
10,Hashmap,100,18998047.97200,189980.47972,94990.23986,14223692.89720,337778
1,Sequence,100000,10423575.73500,104.23576,52.11788,306996.37834,4
1,Vector,10,142322.78200,14232.27820,7116.13910,899364094.77999,1600000
1,Hashmap,10,955800.43600,95580.04360,47790.02180,28271843.14028,337778
2,Sequence,200000,22619411.34600,113.09706,56.54853,282942.81854,4
2,Vector,20,525912.58200,26295.62910,13147.81455,486772913.90606,1600000
2,Hashmap,20,1908922.39800,95446.11990,47723.05995,28311512.32581,337778
3,Sequence,300000,39292142.50300,130.97381,65.48690,244323.65833,4
3,Vector,30,1118856.19400,37295.20647,18647.60323,343207645.50373,1600000
3,Hashmap,30,2719503.74100,90650.12470,45325.06235,29809379.84303,337778
4,Sequence,400000,43507956.04100,108.76989,54.38495,294199.06529,4
4,Vector,40,1938145.62700,48453.64068,24226.82034,264170035.97016,1600000
4,Hashmap,40,4953568.63300,123839.21583,61919.60791,21820422.40819,337778
5,Sequence,500000,53403888.72300,106.80778,53.40389,299603.65027,4
5,Vector,50,2915156.41100,58303.12822,29151.56411,219542250.83259,1600000
5,Hashmap,50,5525308.21900,110506.16438,55253.08219,24453151.68761,337778
6,Sequence,600000,70322309.53300,117.20385,58.60192,273028.57553,4
6,Vector,60,4184504.35300,69741.73922,34870.86961,183534281.53310,1600000
6,Hashmap,60,7496478.46300,124941.30772,62470.65386,21627947.14882,337778
7,Sequence,700000,82561578.84600,117.94511,58.97256,271312.64098,4
7,Vector,70,5911950.36000,84456.43371,42228.21686,151557429.51807,1600000
7,Hashmap,70,10323975.02700,147485.35753,73742.67876,18321981.55316,337778
8,Sequence,800000,103229755.41000,129.03719,64.51860,247990.51299,4
8,Vector,80,7575658.42400,94695.73030,47347.86515,135169769.10626,1600000
8,Hashmap,80,13109390.65300,163867.38316,81933.69158,16490310.32198,337778
9,Sequence,900000,109394652.35400,121.54961,60.77481,263266.98225,4
