NClients,Type,TotalCalls,Time,MicrosPerCall,Latency,Throughput,Size
6,Sequence,60000,8278429.00500,137.97382,68.98691,231928.06254,4
6,Vector,60,4239051.65600,70650.86093,35325.43047,181172597.62876,1600000
6,Hashmap,60,8454020.28000,140900.33800,70450.16900,9589132.42635,168889
7,Sequence,70000,9310546.36800,133.00781,66.50390,240587.38461,4
7,Vector,70,5943098.32900,84901.40470,42450.70235,150763112.16792,1600000
7,Hashmap,70,11241173.28600,160588.18980,80294.09490,8413520.33224,168889
8,Sequence,80000,10720476.93900,134.00596,67.00298,238795.34601,4
8,Vector,80,7614976.99700,95187.21246,47593.60623,134471844.15704,1600000
8,Hashmap,80,13753152.49500,171914.40619,85957.20309,7859213.37230,168889
9,Sequence,90000,12142008.51600,134.91121,67.45560,237193.04728,4
9,Vector,90,9886488.74000,109849.87489,54924.93744,116522663.43450,1600000
9,Hashmap,90,16234068.69400,180378.54104,90189.27052,7490425.36976,168889
10,Sequence,100000,13133000.35100,131.33000,65.66500,243661.00011,4
10,Vector,100,12201708.72700,122017.08727,61008.54364,104903340.06807,1600000
10,Hashmap,100,20853456.64800,208534.56648,104267.28324,6479079.33350,168889
1,Sequence,10000,1250002.60300,125.00026,62.50013,255999.46691,4
1,Vector,10,141329.44100,14132.94410,7066.47205,905685320.01765,1600000
1,Hashmap,10,1018408.57000,101840.85700,50920.42850,13266895.42685,168889
2,Sequence,20000,2411171.17900,120.55856,60.27928,265431.17535,4
2,Vector,20,509513.16600,25475.65830,12737.82915,502440402.09944,1600000
2,Hashmap,20,1628175.16800,81408.75840,40704.37920,16596641.76871,168889
3,Sequence,30000,3648020.32400,121.60068,60.80034,263156.42862,4
3,Vector,30,1144800.04800,38160.00160,19080.00080,335429755.32789,1600000
3,Hashmap,30,3073176.39200,102439.21307,51219.60653,13189402.37388,168889
4,Sequence,40000,4890012.27200,122.25031,61.12515,261758.03430,4
4,Vector,40,1915270.97400,47881.77435,23940.88718,267325097.57128,1600000
4,Hashmap,40,4258358.40500,106458.96013,53229.48006,12691388.29098,168889
5,Sequence,50000,6261042.78000,125.22086,62.61043,255548.48549,4
5,Vector,50,3189643.70900,63792.87418,31896.43709,200649369.76947,1600000
5,Hashmap,50,5698537.11300,113970.74226,56985.37113,11854902.17233,168889
6,Sequence,60000,7743809.00300,129.06348,64.53174,247939.99946,4
6,Vector,60,4442490.93800,74041.51563,37020.75782,172875985.72925,1600000
6,Hashmap,60,8605254.92800,143420.91547,71710.45773,9420606.44086,168889
7,Sequence,70000,9123706.79200,130.33867,65.16933,245514.24668,4
7,Vector,70,5535465.22300,79078.07461,39539.03731,161865347.15765,1600000
7,Hashmap,70,11722746.21600,167467.80309,83733.90154,8067891.11163,168889
8,Sequence,80000,10948008.29500,136.85010,68.42505,233832.48633,4
8,Vector,80,8050666.92500,100633.33656,50316.66828,127194431.16199,1600000
8,Hashmap,80,14541809.86400,181772.62330,90886.31165,7432978.49517,168889
9,Sequence,90000,12119982.04900,134.66647,67.33323,237624.11432,4
9,Vector,90,10381433.36600,115349.25962,57674.62981,110967335.56783,1600000
9,Hashmap,90,16845963.59100,187177.37323,93588.68662,7218351.11082,168889
10,Sequence,100000,13787657.46200,137.87657,68.93829,232091.63767,4
10,Vector,100,11728484.99700,117284.84997,58642.42499,109136005.23234,1600000
10,Hashmap,100,22137107.32700,221371.07327,110685.53664,6103380.98850,168889
1,Sequence,10000,1240678.27400,124.06783,62.03391,257923.43326,4
1,Vector,10,141599.19900,14159.91990,7079.95995,903959915.76195,1600000
1,Hashmap,10,848036.29600,84803.62960,42401.81480,15932242.59826,168889
2,Sequence,20000,2525069.23500,126.25346,63.12673,253458.39676,4
2,Vector,20,533355.49400,26667.77470,13333.88735,479980056.22869,1600000
2,Hashmap,20,1957946.59300,97897.32965,48948.66483,13801316.18330,168889
3,Sequence,30000,3861791.87500,128.72640,64.36320,248589.26402,4
3,Vector,30,1099427.71100,36647.59037,18323.79518,349272622.61811,1600000
3,Hashmap,30,2855416.36400,95180.54547,47590.27273,14195253.80292,168889
4,Sequence,40000,5397800.70600,134.94502,67.47251,237133.61603,4
4,Vector,40,1847993.12100,46199.82803,23099.91401,277057308.37512,1600000
4,Hashmap,40,4746299.38500,118657.48463,59328.74231,11386656.34342,168889
5,Sequence,50000,6506961.38100,130.13923,65.06961,245890.50193,4
5,Vector,50,2878817.39900,57576.34798,28788.17399,222313509.78437,1600000
5,Hashmap,50,6611643.54700,132232.87094,66116.43547,10217671.22195,168889
6,Sequence,60000,8249797.92100,137.49663,68.74832,232732.97339,4
6,Vector,60,4460837.61600,74347.29360,37173.64680,172164975.75374,1600000
6,Hashmap,60,8543441.60200,142390.69337,71195.34668,9488766.21115,168889
7,Sequence,70000,9156266.12200,130.80380,65.40190,244641.20747,4
7,Vector,70,5880484.62800,84006.92326,42003.46163,152368394.21936,1600000
7,Hashmap,70,11204812.74700,160068.75353,80034.37676,8440822.89776,168889
8,Sequence,80000,10487942.88000,131.09929,65.54964,244089.81144,4
8,Vector,80,8153852.17600,101923.15220,50961.57610,125584812.90770,1600000
8,Hashmap,80,14356263.86300,179453.29829,89726.64914,7529045.23290,168889
9,Sequence,90000,12681088.16700,140.90098,70.45049,227109.84752,4
9,Vector,90,9246205.07500,102735.61194,51367.80597,124591655.78263,1600000
9,Hashmap,90,16993576.63200,188817.51813,94408.75907,7155649.61004,168889
10,Sequence,100000,13324168.48200,133.24168,66.62084,240165.08079,4
10,Vector,100,12099195.56100,120991.95561,60495.97781,105792157.30060,1600000
10,Hashmap,100,21135314.80100,211353.14801,105676.57401,6392675.06882,168889
